cod;nome;período;valor
41;PR;2017;98
35;SP;2017;157
33;RJ;2017;137
32;ES;2017;59
31;MG;2017;129
29;BA;2017;208
28;SE;2017;39
27;AL;2017;43
26;PE;2017;136
25;PB;2017;41
24;RN;2017;87
23;CE;2017;202
22;PI;2017;20
21;MA;2017;49
17;TO;2017;21
16;AP;2017;12
15;PA;2017;129
14;RR;2017;13
13;AM;2017;46
12;AC;2017;16
53;DF;2017;17
52;GO;2017;110
51;MT;2017;31
22;PI;2018;21
51;MT;2018;30
52;GO;2018;88
53;DF;2018;13
11;RO;2018;16
12;AC;2018;13
13;AM;2018;64
14;RR;2018;17
15;PA;2018;132
16;AP;2018;6
17;TO;2018;18
21;MA;2018;41
23;CE;2018;251
24;RN;2018;43
25;PB;2018;34
26;PE;2018;101
27;AL;2018;25
28;SE;2018;10
29;BA;2018;185
31;MG;2018;129
32;ES;2018;41
33;RJ;2018;150
35;SP;2018;139
41;PR;2018;76
42;SC;2018;37
43;RS;2018;102
50;MS;2018;25
43;RS;2019;87
33;RJ;2019;77
42;SC;2019;46
35;SP;2019;122
31;MG;2019;97
32;ES;2019;31
29;BA;2019;183
28;SE;2019;19
27;AL;2019;39
26;PE;2019;91
25;PB;2019;21
24;RN;2019;41
23;CE;2019;106
22;PI;2019;17
21;MA;2019;47
17;TO;2019;13
16;AP;2019;9
41;PR;2019;68
15;PA;2019;100
14;RR;2019;11
13;AM;2019;56
12;AC;2019;11
11;RO;2019;14
53;DF;2019;18
52;GO;2019;57
51;MT;2019;30
50;MS;2019;17
13;AM;2020;45
52;GO;2020;55
51;MT;2020;35
50;MS;2020;26
43;RS;2020;73
42;SC;2020;31
41;PR;2020;77
35;SP;2020;127
33;RJ;2020;104
32;ES;2020;50
31;MG;2020;86
29;BA;2020;218
28;SE;2020;18
27;AL;2020;39
26;PE;2020;101
25;PB;2020;40
24;RN;2020;39
23;CE;2020;155
22;PI;2020;21
21;MA;2020;53
17;TO;2020;15
16;AP;2020;10
15;PA;2020;84
14;RR;2020;10
12;AC;2020;15
11;RO;2020;15
53;DF;2020;12
27;AL;2021;24
12;AC;2021;10
13;AM;2021;60
14;RR;2021;11
15;PA;2021;87
16;AP;2021;8
17;TO;2021;12
21;MA;2021;47
22;PI;2021;28
23;CE;2021;170
24;RN;2021;28
25;PB;2021;32
26;PE;2021;107
28;SE;2021;14
29;BA;2021;203
31;MG;2021;74
32;ES;2021;30
33;RJ;2021;95
35;SP;2021;86
41;PR;2021;83
42;SC;2021;25
43;RS;2021;68
50;MS;2021;15
51;MT;2021;25
52;GO;2021;48
53;DF;2021;8
11;RO;2021;16
53;DF;2022;10
12;AC;2022;9
13;AM;2022;46
14;RR;2022;12
15;PA;2022;72
16;AP;2022;4
17;TO;2022;16
21;MA;2022;44
22;PI;2022;22
23;CE;2022;129
24;RN;2022;28
25;PB;2022;30
26;PE;2022;89
27;AL;2022;39
28;SE;2022;12
29;BA;2022;186
31;MG;2022;85
32;ES;2022;37
33;RJ;2022;81
35;SP;2022;100
41;PR;2022;82
42;SC;2022;21
43;RS;2022;94
50;MS;2022;14
51;MT;2022;47
52;GO;2022;51
11;RO;2022;23
